#This is the file format for reading in the files for the knapsack
#solver. 
CAPACITY 120
ITEM 1 11
ITEM 2 12
ITEM 7 13
ITEM 8 15
ITEM 9 15
ITEM 3 11
ITEM 6 12
ITEM 4 13
ITEM 8 15
ITEM 7 15
ITEM 9 11
ITEM 2 12
ITEM 4 13
ITEM 6 15
ITEM 3 15
ITEM 8 11
ITEM 6 12
ITEM 5 13
ITEM 7 15
ITEM 9 15
ITEM 7 11
ITEM 3 12
ITEM 5 13
ITEM 3 15
ITEM 6 15
ITEM 8 11
ITEM 7 12
ITEM 8 13
ITEM 8 15
ITEM 6 15
ITEM 8 11
ITEM 8 12
ITEM 7 13
ITEM 8 15
ITEM 9 15
ITEM 8 11
ITEM 6 12
ITEM 5 13
ITEM 8 15
ITEM 9 15
ITEM 7 11
ITEM 8 12
ITEM 5 13
ITEM 8 15
ITEM 8 15
ITEM 4 11
ITEM 7 12
ITEM 5 13
ITEM 6 15
ITEM 5 15
ITEM 7 11
ITEM 8 12
ITEM 5 13
ITEM 8 15
ITEM 8 15
ITEM 4 11
ITEM 7 12
ITEM 5 13
ITEM 6 15
ITEM 1 50
